BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
CA,Employed,143,6500
,Not available,,1000
MI,Other,28,10648
WV,Employed,27,15000
CA,Employed,55,3000
TX,Employed,72,12000
IN,Employed,5,15000
TX,Other,396,4000
CO,Employed,8,15000
CA,Employed,2,7000
PA,Employed,10,2000
AZ,Employed,309,10000
IN,Full-time,36,1200
CO,Employed,37,7500
IL,Employed,8,4000
CA,Employed,43,11500
NY,Employed,264,12000
CA,Full-time,3,1000
MD,Employed,16,3000
IL,Employed,49,7000
NV,Employed,174,9000
AZ,Employed,51,12000
SC,Employed,108,7500
NY,Employed,71,2500
PA,Employed,236,10000
NC,Employed,122,4000
,Not available,,5000
NV,Employed,76,10000
MD,Employed,171,4000
NC,Employed,11,10000
WI,Full-time,93,3000
CA,Employed,120,4000
TX,Self-employed,376,10000
RI,Employed,108,10450
WI,Full-time,6,6500
WA,Self-employed,233,18000
GA,Employed,28,2500
NY,Employed,89,9000
IL,Employed,47,2000
TN,Not employed,2,2000
CA,Employed,2,6000
CA,Employed,172,7000
MO,Full-time,15,3650
CA,Employed,312,10000
CA,Employed,135,6500
NY,Employed,84,35000
MD,Full-time,12,2500
AZ,Employed,28,4000
WI,Full-time,119,2000
CA,Employed,3,15000
IN,Full-time,84,8000
MA,Employed,34,15000
FL,Employed,155,3500
IL,Employed,234,2300
CA,Employed,184,15000
IN,Employed,248,10000
IL,Full-time,204,2000
OK,Employed,11,15000
GA,Other,2,4000
WV,Employed,170,15000
,Not available,,2500
CA,Full-time,23,3000
MA,Employed,57,4000
GA,Full-time,10,4000
NC,Employed,81,3000
CA,Employed,50,25000
OR,Employed,214,6000
VA,Full-time,16,8000
NV,Employed,94,10000
OR,Full-time,83,9999
GA,Full-time,53,2500
MO,Employed,20,5400
DE,Employed,274,25000
CA,Employed,50,4000
MA,Employed,63,10000
AZ,Employed,124,3000
MT,Employed,227,17500
NJ,Employed,26,15000
TN,Employed,131,4000
NY,Employed,220,3000
TX,Employed,100,15000
IL,Employed,24,3500
IN,Employed,62,19000
MA,Full-time,70,1000
DE,Employed,9,15000
IN,Employed,127,15000
KS,Self-employed,128,8000
CA,Employed,93,5000
KY,Employed,68,2500
NY,Part-time,29,1500
GA,Self-employed,119,4000
GA,Employed,54,5000
NY,Employed,291,9000
MI,Employed,44,15000
MI,Employed,353,15000
MN,Full-time,1,2850
WA,Full-time,130,8750
CA,Employed,90,3500
MI,Employed,9,15000
NJ,Employed,64,2000
GA,Employed,184,5500
PA,Employed,413,3500
MN,Employed,86,25000
CT,Employed,12,5000
NY,Employed,4,31000
PA,Employed,61,4500
CA,Employed,271,5000
CA,Full-time,76,10000
NY,Employed,241,5000
KY,Employed,187,15000
IL,Full-time,38,5500
FL,Full-time,24,5000
TX,Employed,25,3000
CA,Employed,311,25000
MI,Employed,59,3000
AZ,Employed,48,15000
CA,Employed,26,4000
AZ,Employed,53,4000
CA,Full-time,0,3000
TX,Other,0,15000
IL,Employed,73,4000
IL,Employed,10,7200
FL,Employed,37,15000
NJ,Employed,106,7000
CA,Employed,11,2700
NY,Employed,214,9000
TX,Employed,54,4000
CA,Self-employed,164,11500
NC,Employed,45,15000
WI,Employed,77,3500
MI,Employed,268,7000
CA,Employed,65,20000
MD,Retired,33,7000
CO,Employed,62,4000
,,,1200
NC,Self-employed,19,10000
GA,Full-time,112,1000
NY,Full-time,388,5000
CA,Employed,148,10000
ME,Full-time,5,1000
VA,Employed,42,3500
UT,Employed,85,15000
KS,Employed,255,5000
AR,Employed,178,4000
CA,Employed,315,5000
NJ,Employed,241,10000
IL,Employed,52,4000
FL,Other,132,2000
OH,Employed,34,4000
NY,Employed,64,20000
GA,Employed,222,10000
IL,Employed,33,15000
TX,Employed,15,4000
CA,Employed,58,10000
ID,Employed,42,4000
MN,Self-employed,60,2500
VA,Employed,239,20000
SC,Employed,2,19000
CA,Full-time,43,7000
NJ,Employed,24,4000
NY,Employed,39,16000
NY,Self-employed,25,4000
VA,Self-employed,157,13050
TX,Not available,,1200
NY,Full-time,113,1000
FL,Employed,158,10000
WI,Other,573,7000
CA,Self-employed,24,8000
LA,Other,406,5000
MD,Part-time,5,15000
AZ,Employed,6,7000
SC,Self-employed,290,10000
FL,Employed,28,6000
CA,Employed,78,5500
FL,Employed,81,6500
,Not available,,1000
NM,Employed,391,15500
AZ,Full-time,139,17000
AR,Employed,77,4000
MO,Employed,156,8000
,Not available,,5000
GA,Self-employed,164,5000
CA,Full-time,15,8000
PA,Employed,96,12000
TX,Employed,94,20000
NY,Other,55,5500
MO,Employed,128,12075
OH,Employed,34,3500
CA,Employed,9,15000
OR,Self-employed,34,4000
MS,Employed,23,15000
IL,Full-time,4,16400
GA,Full-time,60,4000
NJ,Employed,138,25000
CA,Full-time,47,4000
PA,Full-time,1,5000
CA,Other,60,4000
MA,Employed,77,12000
FL,Employed,131,11000
MD,Employed,235,3600
FL,Employed,35,4500
DC,Employed,145,11000
NE,Full-time,1,2500
AZ,Full-time,23,8500
NY,Employed,322,10000
LA,Full-time,4,20000
MI,Full-time,111,7500
CA,Self-employed,123,4000
WI,Full-time,51,2000
OR,Full-time,149,2500
FL,Employed,230,7500
GA,Not available,,7500
IL,Full-time,188,4000
AZ,Employed,45,11500
CO,Employed,71,2500
FL,Full-time,58,1500
IL,,,11000
NY,Employed,349,10000
GA,Retired,98,19700
TX,Not available,,1750
UT,Full-time,64,1000
CO,Employed,5,13000
CA,Employed,23,12000
OH,Full-time,189,4500
,Full-time,220,18500
GA,Employed,119,15000
WA,Full-time,80,1550
CA,Employed,13,7000
TX,Employed,81,25000
TN,Employed,216,4700
TX,Other,3,3052
FL,Other,37,8842
NC,Employed,114,16000
IN,Employed,34,3000
VA,Employed,28,15000
CO,Full-time,38,3000
FL,Employed,215,2000
SD,Employed,20,9000
KY,Employed,62,6500
AL,Not available,,10000
FL,Self-employed,94,10000
FL,Employed,48,4000
CO,Employed,67,6500
NY,Employed,76,5000
TX,Full-time,30,2100
CA,Full-time,8,12000
CA,Employed,50,8000
MD,Employed,75,9000
GA,Employed,1,4000
CO,Self-employed,327,4000
,Part-time,73,4000
CA,Full-time,3,2551
MD,Employed,5,2500
WA,Full-time,215,4900
CA,Full-time,69,4000
GA,Employed,251,15000
CA,Not employed,7,8000
TN,Employed,27,15000
DC,Employed,58,15000
AZ,Other,0,10000
MS,Employed,37,2000
CO,Employed,65,23000
OH,Employed,17,4000
AZ,Self-employed,16,10000
,,,2800
NC,Employed,108,2960
CA,Employed,2,4000
WA,Employed,27,4500
NC,Full-time,21,1000
AZ,Employed,125,15000
GA,Employed,276,4000
NY,Not available,,5000
GA,Employed,29,10000
MI,Full-time,256,10000
GA,Employed,82,10000
FL,Employed,75,4000
CA,Employed,114,15000
TX,Employed,7,20000
DC,Employed,214,19697
NY,Employed,11,15000
IL,Full-time,14,3060
AL,Full-time,28,4000
NY,Employed,66,20000
KS,Employed,39,6800
FL,Self-employed,115,2000
TX,Not available,,12000
HI,Employed,4,15000
CA,Employed,15,10000
FL,Employed,92,4000
IL,Employed,243,7000
AL,Employed,158,12000
IN,Full-time,167,22000
OR,Employed,7,10000
NY,Employed,2,25000
AR,Full-time,122,8000
CT,Employed,12,15000
AK,Other,112,5047
CA,Employed,36,25000
FL,Full-time,77,2000
MA,Employed,86,4000
TN,Full-time,341,15000
OH,Employed,203,8500
,Full-time,47,1800
VA,Employed,188,9000
IL,Self-employed,28,25000
MI,Full-time,36,9500
AK,Employed,138,15000
TN,Other,1,15000
AZ,Full-time,326,1250
WV,Employed,9,2000
CT,Employed,21,13000
GA,Full-time,10,4608
FL,Employed,178,2000
IL,Employed,112,7866
TX,Employed,117,15000
NC,Employed,231,8240
WA,Part-time,0,3200
NY,Employed,105,10000
NY,Employed,63,10000
PA,Employed,167,2000
CA,Employed,13,2000
IL,Full-time,6,3000
GA,Other,96,3000
IN,Self-employed,152,4000
,Not available,,2550
PA,Employed,38,25000
GA,Full-time,164,5000
GA,Employed,24,3500
SC,Employed,43,4000
LA,Full-time,336,6000
MD,Employed,58,6000
FL,Employed,44,7500
NY,Employed,18,10000
NY,Employed,40,2000
TX,Employed,323,15000
FL,Employed,45,4250
TX,Employed,80,14000
IL,Employed,226,9000
NE,Employed,75,7500
OK,Employed,33,4000
CA,Full-time,37,5000
OH,Employed,259,2000
CA,Full-time,45,10000
WV,Employed,53,15000
GA,Full-time,2,3500
CA,Employed,564,25000
CA,Full-time,0,3000
NC,Full-time,88,2500
GA,Employed,14,4000
TN,Employed,199,15000
OH,Employed,207,15000
TX,Employed,169,4000
CA,Employed,69,8000
TX,Employed,282,15000
FL,Employed,123,10000
NY,Full-time,50,3125
CO,Employed,19,3000
WA,Employed,14,35000
MA,Full-time,37,25000
WI,Full-time,22,3000
NJ,Self-employed,63,4000
NY,Employed,279,17500
,Not available,,3500
SC,Employed,15,10000
NY,Employed,25,4000
KY,Self-employed,128,4000
MN,Full-time,46,1000
,Full-time,39,7600
CA,Employed,12,5000
TX,Employed,122,4000
,Full-time,6,9500
CT,Employed,119,2000
GA,Full-time,6,5750
IL,Employed,6,7000
MO,Employed,41,3800
IL,Employed,36,25000
MO,Full-time,225,2000
CA,Employed,179,20000
MO,Full-time,153,5000
VA,Full-time,55,2200
FL,Employed,12,4000
CT,Full-time,56,4500
NC,Employed,27,4000
TX,Not available,,1000
MI,Employed,136,4000
,Not employed,10,5000
VA,Self-employed,350,2900
VA,Full-time,8,1500
VA,Full-time,41,8000
NY,Employed,13,5500
,Not available,,1800
NC,Not available,,10000
,Full-time,36,4000
NY,Employed,27,11000
CA,Employed,0,4000
GA,Full-time,29,4700
MO,Full-time,147,1000
,Not available,,1000
IL,Employed,52,7500
MO,Not available,,2000
CA,Full-time,22,6000
TX,Employed,137,14000
IN,Not available,,6500
FL,Self-employed,80,6163
NY,Employed,113,10000
AZ,Full-time,47,8500
TX,Employed,310,15000
TX,Employed,22,2125
PA,Employed,13,2000
UT,Full-time,56,7808
GA,Employed,36,14900
IN,Employed,30,18000
MS,Employed,4,4000
AL,Employed,14,3500
,Full-time,138,3000
OR,Self-employed,31,2750
VA,Employed,129,4000
MI,Full-time,62,7500
NC,Self-employed,208,7500
AZ,Other,34,4591
OK,Employed,167,5000
GA,Employed,168,20000
AL,Employed,24,4000
OH,Employed,32,2000
IN,Employed,83,4000
IL,Full-time,14,12500
MO,Employed,141,8500
CA,Employed,177,10000
AL,Other,36,4000
,,,9000
NJ,Employed,109,11000
GA,Employed,21,4000
MO,Employed,29,4000
MO,Employed,283,10000
IL,Other,0,10000
GA,Employed,350,25000
OH,Employed,16,15000
WA,Full-time,137,14000
TX,Full-time,8,25000
OH,Other,373,4000
ID,Self-employed,45,10000
,,,1500
MA,Employed,7,4000
NC,Employed,76,22250
TX,Employed,206,15000
MN,Employed,125,4000
FL,Full-time,216,2500
FL,Employed,61,3000
NY,Employed,316,4000
MI,Full-time,2,2500
MN,Employed,65,6000
WI,Retired,92,3800
CA,Full-time,69,2400
MO,Full-time,141,7500
MD,Self-employed,42,10000
TN,Employed,170,7000
CO,Employed,103,10000
NC,Employed,16,7500
NJ,Full-time,38,1500
NY,Self-employed,31,15000
TX,Employed,34,10000
IN,Full-time,53,5000
UT,Full-time,3,3000
FL,Full-time,156,8000
OR,Employed,136,8000
NY,Employed,6,14000
KY,Employed,97,4000
MD,Employed,21,7000
VA,Not available,,3998
GA,Full-time,14,10000
MI,Employed,176,2950
VT,Employed,10,2000
NH,Employed,8,2000
TX,Employed,281,10000
GA,,,5000
OK,Employed,21,2000
CO,Employed,103,18000
TX,Not available,,5000
IL,Employed,132,4000
CA,Full-time,42,6000
OH,Employed,111,15000
TX,Employed,147,15000
,Not available,,5000
MO,Employed,280,6500
OR,Employed,69,7000
GA,Full-time,25,14000
CA,Employed,3,25000
OH,Employed,44,8000
,Not available,,3000
MN,Full-time,11,1000
MI,Employed,179,2500
VA,Employed,29,2000
CA,Employed,5,8000
CA,Part-time,10,9000
TN,Employed,34,4000
WA,Employed,311,9500
CA,Full-time,240,3500
NJ,Employed,64,4000
AL,Part-time,8,3000
WI,Full-time,126,25000
DC,Employed,90,4000
NY,Employed,79,15000
TN,Employed,272,2000
TX,Not available,,15000
NV,Employed,122,4000
VA,Employed,197,15000
GA,Employed,15,4000
NC,Full-time,197,3000
NE,Employed,113,15000
CT,Employed,3,15000
NE,Full-time,13,3000
TN,Not available,,1000
WA,Employed,6,2000
PA,Self-employed,25,5000
CA,Employed,138,10000
DC,Employed,6,12000
GA,Employed,15,5500
,Not available,,3200
NJ,Employed,33,20000
CA,Employed,17,19500
MI,Full-time,89,4000
PA,Employed,33,15000
NY,Employed,34,4000
WA,Other,149,10000
MI,Employed,256,8000
CA,Other,44,4000
WA,Employed,34,4000
KS,Full-time,223,2500
OH,Employed,119,9000
TX,Employed,41,6500
CA,Employed,144,10000
MD,Full-time,14,7000
VA,Full-time,167,2000
CA,Employed,117,20000
,,,2000
NY,Employed,33,4000
OH,Full-time,111,3000
MA,Employed,21,2000
CA,Part-time,11,2800
NV,Employed,131,10000
OH,Full-time,135,10000
MS,Employed,60,15000
FL,Employed,166,15000
FL,Employed,106,15000
MI,Employed,166,4000
OK,Employed,75,5000
WI,Employed,3,15000
,Not available,,1050
NV,Employed,61,25000
FL,Employed,6,22118
MS,Employed,19,8400
MI,Not available,,8000
NY,Employed,32,8500
CA,Employed,55,9000
AL,Full-time,137,15000
MI,Self-employed,28,7500
CA,Employed,115,13000
MD,Employed,65,20000
MT,Employed,68,20000
IL,Employed,78,15000
OH,Self-employed,6,9000
MI,Full-time,42,1000
MS,Full-time,98,5480
,Full-time,17,2499
TN,Full-time,21,2500
,,,8600
CT,Employed,46,3000
NY,Employed,48,2000
NJ,Employed,45,4000
IL,Employed,65,15000
MD,Employed,306,25000
GA,Employed,120,11000
GA,Employed,225,20000
WA,Employed,66,4000
UT,Employed,25,10000
NY,Employed,94,10000
TX,Employed,39,7000
FL,Employed,119,7500
MA,Employed,125,4000
CA,Employed,62,20000
MN,Full-time,75,2030
OH,Full-time,105,2300
GA,Employed,47,3000
FL,Employed,240,4000
WA,Other,119,9900
CA,Employed,153,35000
MI,Employed,221,4000
AZ,Employed,149,11250
VA,Employed,26,4000
OH,Employed,41,18000
NY,Employed,24,9500
CA,Full-time,4,2600
CA,Employed,6,25000
IL,Employed,339,12500
TX,,,4700
LA,Employed,41,4000
CA,Employed,61,4000
IL,Not available,,2000
GA,Full-time,96,5500
,Not available,,1000
FL,Employed,14,10000
,Not available,,6000
MN,Full-time,35,3800
PA,Employed,50,4000
AL,Employed,231,3500
MD,Part-time,27,6001
FL,Employed,124,5000
CA,Full-time,49,6000
SD,Employed,28,4000
NY,Employed,416,25000
,,,3001
FL,Employed,83,4000
NJ,Employed,172,7500
AR,Other,255,11300
GA,Full-time,6,3500
OH,Full-time,114,15000
TX,Full-time,79,1500
MA,Employed,32,7000
IN,Employed,122,5500
OR,Employed,194,4000
NV,Employed,20,5000
VA,Employed,338,3700
CA,Employed,67,7000
NY,Employed,92,7500
IL,Full-time,138,2000
MA,Employed,42,17500
FL,Employed,93,4000
IL,Employed,58,3000
IL,Full-time,143,6000
NY,Self-employed,41,15000
KY,Employed,5,6000
PA,Full-time,43,1500
VA,Self-employed,78,3000
AZ,Full-time,44,10000
HI,Full-time,112,7500
MO,Employed,359,10000
NY,Employed,186,5000
MI,Employed,80,25000
,Full-time,1,25000
OK,Employed,101,2700
MO,Not available,,25000
MI,Full-time,11,1000
AL,Employed,197,7000
CA,Full-time,41,2551
MI,Full-time,19,4500
MA,Full-time,81,10000
WI,Employed,187,4000
MA,Employed,9,4000
CT,Full-time,189,5000
TX,Full-time,125,12000
PA,Employed,3,13000
MT,Employed,14,15000
MO,Other,78,6500
OR,Employed,96,4000
CA,Employed,288,15000
VA,Employed,55,24500
IL,Employed,103,15000
RI,Full-time,159,2500
MO,Employed,257,11500
TX,Employed,138,2000
MA,Self-employed,13,15000
NC,Full-time,137,4000
CA,Employed,90,15000
TX,Self-employed,4,2000
IL,Employed,349,11500
NV,Employed,50,15000
OH,Full-time,41,2300
NJ,Full-time,40,18000
NC,Other,3,4000
CA,Employed,12,10000
IL,Full-time,26,4400
VA,Employed,57,12000
CA,Full-time,3,7000
GA,Employed,102,12000
AZ,Not available,,5000
UT,Full-time,28,4500
NY,Self-employed,94,4000
MI,Employed,103,4000
NY,Employed,35,3000
NM,Employed,33,4000
,Not available,,5800
NJ,Employed,20,20000
CA,Employed,199,10000
PA,Full-time,82,7500
WI,Not employed,264,1500
OH,Full-time,36,1400
NJ,Self-employed,45,25000
KY,Employed,83,4500
NM,Employed,17,9500
NY,Employed,14,10000
CA,Employed,31,7500
OR,Self-employed,41,10000
,Not available,,1000
GA,Full-time,69,8800
AL,Employed,368,15000
WA,Full-time,150,8500
OK,Employed,287,14000
AZ,Full-time,511,5000
VA,Full-time,6,4000
,,,15000
NC,Employed,50,2000
KS,Employed,155,4500
MD,Employed,244,25000
NH,Employed,98,10000
,Not available,,2550
NY,Employed,431,25000
TN,Employed,314,2000
TX,Employed,217,3000
CA,Full-time,63,10000
MO,Full-time,5,3000
CA,Not available,,2750
NY,Employed,133,9500
WA,Employed,75,8000
CA,Employed,6,2500
MT,Employed,131,4250
CA,Employed,435,11000
AL,Employed,14,4000
LA,Employed,194,20000
MO,Employed,67,6500
VA,Full-time,40,4500
MI,Employed,338,11500
NY,Full-time,22,10000
WA,Employed,198,8500
FL,Employed,18,14000
AL,Self-employed,292,10000
CA,Full-time,159,13000
CA,Employed,154,4000
GA,Full-time,288,5000
WA,Self-employed,99,25000
AZ,Full-time,260,4000
OR,,,2000
NJ,Self-employed,256,4000
WI,Employed,40,2000
NV,Employed,103,3000
CA,Employed,73,2500
CA,Employed,309,2000
AZ,Employed,45,25000
MD,Employed,23,3000
OR,Employed,9,3300
MI,Full-time,47,9999
NM,Employed,370,2000
WV,Full-time,29,4000
FL,Employed,65,12000
MA,Full-time,79,1500
MA,Employed,15,4000
OR,Employed,157,15000
MD,Employed,133,2500
UT,Full-time,29,4000
FL,Employed,166,15000
CA,Full-time,34,22000
CA,Employed,62,2000
IL,Employed,229,15000
PA,Employed,135,12000
TX,Employed,72,4000
NC,Employed,70,7000
MO,Full-time,191,6000
OR,Full-time,142,12000
WI,Employed,91,20000
TN,Employed,42,24500
CO,Full-time,101,1000
SC,Employed,44,7500
FL,Employed,17,10000
OR,Full-time,1,7000
,Full-time,119,7000
CO,Self-employed,65,4000
PA,Employed,113,4000
NH,Employed,147,10000
CA,Employed,6,10000
PA,Employed,1,5000
TX,Employed,23,2000
,Not available,,3000
NY,Employed,68,10000
OR,Employed,219,13500
MN,Employed,144,12000
NV,Employed,11,10000
NY,Full-time,79,1500
GA,Full-time,130,7500
MD,Employed,138,10000
NC,Employed,124,3000
MI,Employed,70,3000
VA,Employed,10,4500
FL,Employed,151,10500
NC,Employed,75,4000
GA,Full-time,8,5000
NJ,Employed,265,5000
FL,Employed,1,2000
MN,Employed,8,15000
GA,Full-time,38,10000
IN,Employed,247,9000
FL,Employed,21,15000
OH,Employed,54,23000
NJ,Employed,61,25000
KY,Other,70,15000
PA,Full-time,103,10000
MD,Employed,163,3000
GA,Employed,257,12000
MI,Employed,3,7000
,Not available,,5000
HI,Employed,19,7000
CO,Full-time,41,15000
OR,Employed,126,2100
SC,Employed,120,15000
KS,Employed,142,10000
TX,Not available,,4000
CA,Full-time,456,3500
SC,Employed,39,10000
NC,Employed,30,13000
GA,Full-time,34,10000
CA,Employed,84,4000
OK,Employed,276,7500
,Retired,69,3001
AZ,Employed,169,4000
IN,Employed,102,15000
WY,Employed,30,3000
FL,Self-employed,120,10000
GA,Employed,36,4000
TN,Employed,11,4000
,Full-time,0,5000
IN,Full-time,332,2500
UT,Full-time,25,1750
CA,Employed,30,20000
MI,Employed,56,5000
OH,Employed,282,4000
FL,Self-employed,370,4000
OH,Employed,14,7000
CA,Employed,73,4000
DE,Full-time,82,10000
CA,Self-employed,43,7500
CA,Employed,14,15000
OK,Employed,4,6000
MA,Employed,76,20000
,Not available,,3000
FL,Self-employed,3,10000
WI,Employed,68,5000
FL,Full-time,74,7000
FL,Other,404,3500
IL,Employed,97,4000
GA,Employed,35,3500
MA,Employed,27,14500
OH,Employed,19,15000
PA,Full-time,51,4400
PA,Employed,221,11000
AL,Full-time,11,2600
WA,Employed,257,4000
TX,Employed,128,19500
,Not available,,1400
IN,Employed,102,15000
MD,Employed,75,8000
IL,Full-time,33,2500
MI,Employed,28,6000
NY,Full-time,5,1000
VA,Employed,28,2000
FL,Full-time,27,5500
VA,Employed,78,25000
VA,Employed,46,25000
IL,Employed,7,7000
FL,Employed,250,3485
MI,Employed,21,25000
,Not available,,6001
GA,Not available,,3001
TN,Employed,9,6500
PA,Employed,372,4000
NY,Employed,101,4000
MA,Full-time,139,2000
RI,Employed,31,10000
GA,Full-time,47,20000
NC,Full-time,69,1000
,Full-time,32,5000
CA,Employed,40,20000
MN,Employed,53,4250
FL,Full-time,43,1000
OR,Employed,159,12000
MO,Full-time,103,4000
MI,Employed,124,8000
CO,Full-time,162,2000
CA,Employed,65,2000
CA,Full-time,229,6000
NY,Employed,9,4500
IL,Employed,3,8000
NY,Other,0,3000
NY,Employed,127,8000
CA,Employed,278,6000
,,,7000
MD,Employed,20,4000
UT,Employed,13,4000
IL,Employed,58,3000
CA,Employed,80,4000
MO,Employed,16,4500
NY,Employed,72,13000
MA,Employed,158,10000
MD,Employed,42,5000
TX,Employed,123,14000
IL,Employed,12,9000
IN,Employed,103,15000
FL,Employed,46,15000
IL,Employed,19,25000
OH,Full-time,125,2000
NC,Employed,303,35000
UT,Full-time,43,6700
OR,Employed,221,15000
OH,Employed,74,4000
VA,Employed,72,15000
GA,Not available,,19000
TX,Employed,31,6500
NY,Employed,39,10000
FL,Part-time,10,3000
TX,Full-time,37,2200
MN,Employed,37,4000
OR,Self-employed,114,5000
IN,Other,23,4000
NJ,Employed,260,9000
CA,Employed,8,7500
NJ,Full-time,193,2500
MD,Employed,166,10000
NV,Full-time,114,5000
GA,Employed,92,3000
WA,Full-time,115,5000
,Not available,,20000
MI,Full-time,35,3000
SC,Self-employed,5,4000
FL,Employed,146,15000
TX,Employed,63,4000
OH,Full-time,106,8000
,Part-time,14,6000
IL,Full-time,5,10000
GA,Employed,285,15000
,,,3200
TX,Employed,55,2000
IL,Employed,46,6500
IL,Full-time,11,3900
MD,Employed,62,15000
MN,Self-employed,4,4000
OH,Employed,2,4000
MD,Full-time,6,1000
MN,Self-employed,50,9600
IN,Employed,197,15000
OH,Full-time,108,1600
GA,Employed,113,15000
OR,Full-time,7,5000
NY,Full-time,64,10000
WA,Retired,156,6000
NC,Employed,21,6000
NY,Retired,57,7500
OH,Employed,180,18000
PA,Employed,6,2200
TX,Employed,37,15000
CA,Employed,43,17000
VA,Employed,111,10000
VA,Employed,81,3000
CA,Employed,203,11500
NH,Retired,148,5000
CA,Employed,228,4000
GA,Employed,105,3500
MN,Full-time,50,6200
FL,Full-time,79,8000
WI,Employed,11,11250
AR,Employed,40,2000
NV,Employed,54,10000
CA,Employed,133,30000
AL,Full-time,91,8000
CT,Employed,29,11500
PA,Other,6,3000
FL,Employed,94,4000
NJ,Employed,48,8000
GA,Full-time,108,4500
SC,Employed,7,4000
CO,Full-time,21,3000
CT,Employed,17,12909
WA,Full-time,185,2000
MN,Employed,92,20000
OK,Employed,259,5000
HI,Employed,22,8000
CA,Employed,2,20000
MN,Full-time,128,14000
,Not available,,2550
CO,Employed,130,3000
PA,Employed,59,4000
CA,Employed,57,10000
AR,Employed,171,4000
NE,Other,39,2000
DC,Full-time,92,4500
PA,Employed,253,15000
OH,Employed,359,15000
FL,Employed,58,2000
CO,Employed,48,9000
TN,Employed,26,2250
NY,Employed,153,2000
VA,Full-time,168,24000
TX,Full-time,91,5000
KS,Full-time,139,5000
IL,Full-time,54,1500
WI,Employed,4,5000
MO,Employed,23,15000
UT,Employed,4,10000
IL,Employed,13,15000
IL,Full-time,147,10000
IL,Full-time,27,5000
MN,Employed,233,12000
CA,Employed,357,3000
AZ,Full-time,151,3500
NJ,Employed,27,4000
FL,Employed,178,20000
OH,Full-time,46,5000
,Not available,,2000
DC,Employed,6,17000
AK,Employed,100,4000
FL,Full-time,447,7000
TX,Full-time,35,6000
GA,Full-time,22,7000
AL,Full-time,9,5000
CA,Employed,3,25000
TN,Employed,320,18000
WI,Full-time,63,4500
TX,Employed,18,5660
,,,4000
MA,Employed,62,15000
,,,8800
OH,Employed,338,4000
CT,Employed,58,15000
AL,Full-time,42,2500
AZ,Employed,24,30000
CA,Employed,39,5000
FL,Full-time,0,3000
FL,Other,144,4000
NV,Employed,195,30000
AR,Employed,242,10000
AR,Employed,147,10000
TX,Employed,52,4000
CT,Employed,21,6000
CT,Employed,63,25000
MA,Full-time,4,6000
TX,Other,0,6000
GA,Employed,148,5000
MS,Employed,53,13000
MO,Full-time,312,6000
MI,Employed,57,5000
UT,Full-time,29,3500
MA,Employed,75,4000
CA,Employed,83,15000
NY,Employed,3,4300
,Full-time,208,7500
IN,Full-time,23,20000
NJ,Employed,262,25000
PA,Full-time,70,20000
FL,Self-employed,95,1500
MI,Employed,86,9767
VA,Employed,409,3500
NV,Employed,61,10000
CA,Employed,270,16700
GA,Employed,88,3500
CA,Employed,104,3000
NV,Employed,153,20000
IN,Full-time,218,2500
TX,Employed,6,11950
MO,Employed,122,3500
GA,Part-time,15,3001
AZ,Employed,158,10000
SC,Not employed,3,3000
TX,Self-employed,4,15000
NM,Retired,252,2501
,Not available,,10000
PA,Retired,64,10000
OH,Employed,97,15000
CO,Employed,20,15000
MN,Full-time,60,4000
PA,Employed,82,2000
AZ,Employed,67,25000
MA,Employed,46,10000
CA,Employed,135,25000
CA,Employed,99,4000
CA,Full-time,102,15000
SC,Full-time,138,13000
CA,Full-time,25,7400
NJ,Other,25,4000
TX,Employed,303,4000
NC,Employed,242,10000
MD,Employed,58,25000
FL,Employed,253,12000
CA,Employed,342,4000
GA,Employed,58,4000
DC,Employed,12,12500
CA,Full-time,16,10000
NY,Employed,90,4500
WI,Full-time,318,1000
NY,Employed,75,10000
ID,Employed,75,2000
MO,Employed,119,6500
WI,Employed,140,4000
TX,Not available,,2900
CA,Employed,167,15000
VA,Employed,83,15000
NY,Full-time,1,1900
NV,Employed,158,5000
SC,Employed,191,10000
WA,Employed,76,20000
FL,,,2700
MI,Other,170,4000
FL,Employed,32,4000
IL,Full-time,87,3500
FL,Full-time,47,9000
FL,Employed,57,12000
GA,Employed,18,12000
CT,Employed,29,25000
OH,Full-time,7,3500
CA,Employed,29,5000
NY,Employed,225,10000
TX,Employed,118,4000
NY,Employed,312,3000
OH,Employed,63,8000
NY,Employed,77,8000
UT,Employed,112,6000
LA,Employed,1,4000
IL,Employed,24,5000
IL,Part-time,2,2000
OH,Employed,17,25000
FL,Employed,165,10000
IL,Employed,30,20000
FL,Employed,63,12500
,Full-time,22,1200
NY,Employed,248,11000
RI,Employed,162,15000
FL,Employed,70,12500
IL,Full-time,7,3000
OH,Employed,65,6500
OH,Self-employed,97,4000
NY,Full-time,73,3000
TN,Full-time,75,3000
FL,Employed,152,4000
IL,Employed,102,6500
WY,Employed,232,15000
MI,Full-time,77,9500
AZ,Other,0,3500
KY,Employed,61,22000
CA,Employed,61,3000
CA,Full-time,8,3000
AL,Full-time,330,2000
MN,Employed,406,2000
MD,Employed,7,4000
GA,Full-time,86,13100
NY,Full-time,125,14000
VA,Employed,7,25000
CA,,,11793
OR,Employed,145,10000
CA,Not available,,4900
MN,Full-time,160,4900
,Not available,,2000
NJ,Full-time,41,1000
IL,Employed,137,14000
FL,Employed,122,10000
