BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
NV,Full-time,71,3000
TX,Other,78,3000
OH,Employed,4,4000
NC,Employed,72,4000
TX,Employed,18,12000
MT,Employed,40,4000
WA,Employed,187,15000
IL,Employed,57,10000
NJ,Employed,7,25000
KY,Employed,85,10000
MO,Employed,80,2200
FL,Employed,299,6500
WA,Full-time,94,3000
,,,2840
,Full-time,15,3001
NC,Employed,347,25000
CA,Full-time,285,6000
OR,Full-time,184,3000
OR,Employed,118,13000
CA,Employed,122,15000
FL,Employed,18,15000
CA,Not available,,2550
GA,Full-time,119,12000
WI,Employed,2,2650
TX,Not employed,4,2000
VA,Employed,45,2500
PA,Employed,196,8500
TX,Not available,,3000
MD,Full-time,1,3000
MN,Other,236,7000
IL,Not available,,2500
CA,Employed,66,4000
CA,Employed,34,7500
WA,Employed,38,5000
TN,Full-time,261,4000
CA,Employed,70,9000
CA,Employed,110,13000
PA,Employed,17,2000
ID,Full-time,11,1000
FL,Employed,34,10000
,,,5000
,Not available,,7500
CA,Self-employed,332,7000
MN,Employed,195,15000
MN,Employed,301,10000
NJ,Employed,42,15000
NY,Retired,26,15000
MN,Employed,21,7600
MI,Employed,49,4000
NJ,Employed,136,10000
CA,Employed,99,15000
VT,Self-employed,179,15000
WI,Employed,52,15000
MD,Employed,28,25000
MI,Employed,17,13000
WY,Employed,275,6000
MS,Employed,24,4500
TX,Employed,65,15000
TX,Full-time,40,2000
CA,Employed,134,20000
CA,Employed,7,6500
TX,Employed,84,7500
CA,Employed,22,25000
TX,Employed,46,2500
MA,Employed,45,2000
OH,Employed,146,10000
AZ,Employed,120,6500
TX,Employed,176,14500
NY,Self-employed,289,15000
MA,,,6001
KY,Employed,59,2000
OH,Employed,6,9000
GA,Employed,78,10000
AZ,Employed,30,25000
WA,Employed,57,4000
MA,Employed,165,13000
,,,3500
AZ,Employed,14,3000
,Full-time,143,5000
WI,Employed,30,10000
IL,Full-time,334,6000
OK,Full-time,235,2000
TX,Employed,181,10000
NJ,Employed,6,7000
AL,Full-time,41,5000
NY,Full-time,20,5000
TX,Retired,20,6500
CA,Not employed,1,4000
NY,Employed,202,15000
WA,Employed,40,4000
VA,Employed,130,5000
AR,Employed,91,10000
DC,Employed,46,5500
OR,Full-time,18,6000
MN,Self-employed,215,10000
IN,Other,520,4500
MO,Full-time,93,5000
TX,Employed,114,5000
IN,Employed,142,4000
FL,Employed,82,5500
MA,Part-time,26,6001
FL,Employed,14,13500
CA,Full-time,11,5000
TX,Employed,5,20000
TX,Employed,14,3000
AR,Employed,75,4000
TX,Employed,309,7500
NJ,Employed,192,4000
CA,Retired,89,25000
MN,Employed,9,8900
NC,Full-time,180,5400
GA,Full-time,40,2000
TN,Full-time,68,5000
OH,Employed,32,17000
WA,Employed,24,15000
CA,Full-time,132,4000
KY,Retired,87,3500
AZ,Employed,5,15000
MD,Employed,79,8000
CA,Employed,55,10000
IL,Other,176,15000
IL,Employed,6,8500
CA,Full-time,170,15000
SC,Employed,315,10000
NC,Employed,257,7000
CA,Employed,39,2802
IL,Employed,59,4500
AZ,Not available,,10000
IN,Employed,4,7000
IL,Full-time,36,2000
NC,Employed,229,15000
AR,Employed,41,10000
CA,Full-time,12,23500
MA,Employed,53,15000
IL,Employed,26,4000
OH,Employed,183,15000
MD,Full-time,56,5000
MA,Employed,136,12000
IL,Employed,64,10000
OR,Employed,62,4000
LA,Part-time,48,5000
TX,Employed,73,12000
NY,Other,209,4000
AL,Full-time,13,2500
TX,Employed,45,4500
IN,Self-employed,15,4000
PA,Employed,45,2000
AZ,Full-time,35,3300
TX,Employed,158,25000
OH,Employed,134,5000
NC,Full-time,37,5000
NY,Employed,3,13000
TX,Employed,171,15000
CT,Employed,324,15000
OH,Employed,169,3000
OH,Employed,2,10000
IL,Full-time,18,3500
MO,Full-time,31,1000
SC,Full-time,51,2500
TN,Employed,12,3500
IL,Self-employed,138,15000
CA,Full-time,26,15000
CA,Not available,,25000
NC,Employed,73,4000
MA,Employed,12,2000
CA,Employed,69,11000
NY,Employed,40,10000
CA,Employed,5,5500
OH,Retired,120,1300
CA,Full-time,17,4000
MI,Employed,215,12852
NV,Employed,103,8500
FL,Employed,26,7000
GA,Employed,184,15000
MI,Full-time,164,2000
AZ,Employed,151,8500
NY,Employed,206,8000
MO,Employed,88,3000
UT,Not available,,4500
UT,Full-time,7,3500
GA,Self-employed,234,15000
,Self-employed,0,2500
FL,Employed,99,2000
FL,Employed,45,7000
CA,Full-time,104,2000
CA,Employed,67,3000
CA,Employed,168,25000
GA,Employed,30,25000
CA,Employed,135,15000
NC,Employed,51,7500
CO,Employed,228,10000
MS,Employed,106,3000
TN,Full-time,95,15000
IN,Full-time,29,1000
MD,Employed,6,3500
IL,Employed,47,4000
AZ,Employed,235,25000
GA,Employed,32,4500
WA,Full-time,116,2000
GA,Employed,29,3000
FL,Employed,24,15000
IL,Employed,37,4000
TX,Employed,2,7000
CA,Employed,128,15000
MN,Employed,125,4000
MA,Employed,38,8000
OR,Full-time,2,2000
CA,Employed,58,5000
IL,Employed,6,12500
,Not available,,1800
CA,Employed,3,10000
,Full-time,0,3500
FL,Employed,55,2500
OH,Employed,155,5000
OR,Full-time,81,2500
OH,Employed,83,15000
IL,Other,461,4000
CA,Full-time,211,20000
MA,Full-time,126,6001
KY,Employed,292,4000
MS,Employed,225,10000
IN,Full-time,27,8000
IL,Employed,8,4000
IN,Employed,26,3500
GA,Employed,99,4000
CA,Employed,34,3461
WA,Employed,40,5000
GA,Employed,155,3700
AL,Full-time,66,2000
VT,Employed,18,10000
MO,Other,33,10000
MD,Employed,163,15000
NJ,Employed,107,35000
AZ,Employed,136,12000
,Full-time,141,3500
WV,Employed,376,15000
,,,4200
AZ,Employed,414,4000
ID,Employed,135,15000
KY,Other,200,5000
CA,Full-time,17,1200
NY,Employed,101,5000
CA,Employed,293,10000
MA,Employed,49,12000
NE,Full-time,27,7200
OR,Full-time,111,24500
NC,Employed,170,4000
CT,Employed,3,3100
OR,Full-time,34,1500
MO,Full-time,136,3275
CA,Self-employed,157,4000
OH,Employed,91,4000
AL,Employed,191,15000
VA,Employed,235,2500
FL,Employed,52,4000
CA,Employed,9,7000
CA,Employed,95,2000
NE,Employed,42,20000
GA,Full-time,1,7500
PA,Employed,60,10000
AR,Other,13,3500
MA,Employed,72,15000
,Not available,,11500
CO,Not available,,1500
AR,Employed,47,2000
NY,Employed,16,3500
CT,Employed,63,8500
AZ,Full-time,146,2500
NH,Employed,12,13000
,Not available,,1000
AZ,Employed,7,3000
PA,Employed,204,4000
NM,Self-employed,25,15000
FL,Employed,6,6500
FL,Self-employed,2,1000
CA,Employed,73,22500
CA,Self-employed,93,20000
FL,Full-time,28,2000
CA,Self-employed,35,4000
NY,Employed,24,7590
TN,Full-time,137,2000
MA,Employed,73,4000
UT,Full-time,46,6500
VA,Full-time,12,2250
NM,Full-time,21,15000
TN,Other,381,4000
PA,Employed,124,7400
WA,Employed,199,10000
OR,,,2000
MD,Full-time,15,15000
KS,Employed,347,10000
NY,Employed,2,10000
,Not available,,3000
WV,Employed,27,4750
MO,Full-time,34,5177
MD,Retired,22,6500
IN,Employed,137,19000
MI,Self-employed,32,4500
MD,Employed,37,4000
TN,Other,70,10000
OR,Employed,152,4000
KS,Employed,161,20000
MS,Employed,107,2000
CO,Employed,207,10000
CA,Employed,30,7839
WA,Employed,1,15000
CA,Employed,93,20000
VA,Employed,6,4000
CA,Employed,169,20000
CA,Employed,20,20000
VA,Employed,95,8500
NY,Employed,67,10000
NY,Employed,176,15000
AZ,Employed,139,4000
FL,Self-employed,34,10000
MN,Full-time,91,6000
IL,Full-time,1,3000
CO,Full-time,9,2000
NJ,Employed,103,4500
GA,Employed,139,20500
NJ,Not available,,20000
UT,Employed,203,10000
PA,Employed,324,19000
MA,Employed,159,7000
,Not available,,2600
WA,Retired,82,7500
TX,Full-time,26,2500
MI,Other,88,10000
TX,Employed,209,10000
FL,Employed,166,35000
NC,Employed,285,2500
TX,Employed,68,4000
WA,Employed,65,4000
CT,Employed,38,4000
MN,Employed,256,20000
TX,Other,0,4000
FL,Full-time,214,1025
VA,Employed,12,20000
TX,Not available,,4200
NV,Employed,45,4000
PA,Other,14,2000
NY,Employed,227,3000
MO,Full-time,50,1500
AR,Employed,25,7000
MO,Employed,131,10000
CA,Employed,106,15000
AZ,Employed,89,4000
GA,Employed,214,4000
CA,Employed,7,6500
VA,Employed,18,5000
KS,Full-time,321,5500
FL,Full-time,67,3500
,,,2550
CA,Employed,12,13000
TN,Employed,77,3000
MT,Employed,10,10000
IL,Employed,22,10000
ID,Employed,14,7000
NY,Full-time,95,1500
IL,Full-time,33,1000
NC,Self-employed,32,3282
WA,Full-time,79,4500
TX,Employed,89,20000
IL,Employed,187,4000
IL,Employed,50,10000
FL,Employed,16,10000
MI,Employed,72,25000
TN,Employed,18,10000
CA,Full-time,12,5000
MI,Full-time,154,5000
MD,Full-time,35,8600
TX,Employed,18,25000
CT,Full-time,188,10000
CA,Full-time,23,4600
TX,Employed,396,4000
CA,Self-employed,85,8000
UT,Employed,155,4000
VA,Employed,14,20000
GA,Full-time,31,2200
NJ,Employed,221,15000
PA,Employed,18,3000
MI,Employed,333,6000
TX,Self-employed,416,10000
NY,Employed,13,9000
ID,Employed,106,12000
TX,Full-time,16,5000
FL,Employed,170,7900
VA,Employed,195,4000
AZ,Employed,34,3500
GA,Full-time,25,5000
NC,Employed,153,2500
PA,Employed,44,15000
IN,Employed,115,13000
MD,Employed,208,8500
IN,Employed,155,8750
TX,Employed,393,5500
FL,Employed,32,7000
CT,Employed,2,10000
NJ,Employed,82,4000
,Full-time,0,4900
LA,Employed,210,4000
TX,Not available,,2500
TX,Employed,3,25000
GA,Full-time,16,5000
MO,Other,0,4000
,,,6001
VA,Employed,151,10000
TX,Employed,5,6000
,Not available,,7500
OH,Employed,325,21000
MA,Employed,33,6003
OR,Employed,179,25000
MD,Employed,120,4000
AR,Self-employed,186,10000
GA,Full-time,60,4000
GA,Employed,62,15000
FL,Employed,2,25000
MI,Employed,27,12000
FL,Employed,227,4000
FL,Full-time,14,10000
MO,Employed,295,10000
CO,Full-time,82,2000
KS,Employed,21,4000
CA,Self-employed,169,4000
OR,Employed,134,15000
TX,Full-time,31,3000
CA,Full-time,11,1000
SC,Employed,45,15000
TX,Self-employed,458,15000
CA,Employed,74,3500
NC,Employed,72,4000
NC,Full-time,92,1000
CA,Employed,54,2500
NY,Other,24,3500
IN,Employed,100,15000
NV,Employed,61,7500
CA,Employed,251,15000
NY,Employed,57,9200
AZ,Not available,,3000
NC,Employed,17,5000
OH,Employed,126,10000
SC,Employed,84,8000
TX,Full-time,36,1000
OR,Employed,15,15000
CO,Employed,2,15000
CA,Employed,90,7000
GA,Employed,226,3000
TX,Full-time,134,7500
GA,Employed,96,7000
CA,Employed,13,4000
NC,Full-time,178,3000
VA,Employed,233,8500
CA,Full-time,222,10000
IL,Full-time,22,5000
DE,Employed,65,25000
CA,Employed,25,8234
WY,Full-time,255,5000
SC,Full-time,99,1200
MN,Full-time,31,3500
MO,Full-time,61,3000
CA,Employed,3,5000
VA,Employed,219,2000
OH,Full-time,12,4000
MO,Employed,116,4000
CA,Employed,160,3500
OH,Employed,19,4000
NY,Employed,141,11989
WI,Employed,80,10000
WV,Employed,4,25000
CO,Employed,201,5500
FL,Employed,62,10000
OR,Employed,136,13000
IN,Employed,240,20000
NH,Employed,248,25000
AZ,Full-time,96,5000
MO,Employed,7,13000
MI,Self-employed,46,7500
CA,Self-employed,330,4000
UT,Full-time,2,5000
OH,Employed,83,15000
OR,Full-time,144,2200
GA,Not available,,7750
IL,Part-time,32,3500
PA,Employed,350,3000
CO,Full-time,42,6000
CA,Employed,76,5000
TX,Employed,4,6000
CT,Employed,46,20000
VA,Self-employed,3,2000
FL,Employed,124,4000
,Full-time,86,25000
NC,Employed,83,10000
IL,Retired,42,1000
WA,Employed,6,4000
NY,Full-time,25,5000
IN,Employed,76,13000
PA,Employed,69,16000
WI,Employed,257,12000
MD,Self-employed,48,15000
MS,Full-time,68,1000
MD,Employed,63,30000
MO,Employed,142,7000
IL,Employed,114,2000
AZ,Employed,158,15000
KS,Other,0,4000
GA,Employed,162,3000
NJ,Employed,43,25000
CA,Full-time,80,3000
MN,Full-time,2,5000
FL,Employed,10,8500
IL,Employed,123,5750
FL,Employed,127,17500
MI,,,1800
CA,Self-employed,289,22000
IL,Full-time,65,6000
VA,Employed,82,21000
CA,Employed,37,10000
PA,Employed,166,4000
NJ,Full-time,36,4000
IL,Full-time,190,5000
IL,Employed,136,15000
FL,Full-time,19,5150
,Full-time,168,1000
TX,Employed,59,2500
SC,Employed,84,5000
MS,Employed,94,25000
NM,Employed,141,15000
CA,Employed,48,19978
GA,Employed,54,4000
ID,Employed,67,11500
MI,Self-employed,107,2500
IL,Full-time,22,7500
WA,Employed,341,13000
OH,Full-time,52,10000
MA,Full-time,86,2100
GA,Employed,30,9900
MN,Full-time,34,2500
CT,Employed,5,4000
TX,Employed,40,3000
CA,Employed,141,15000
WY,Employed,57,13000
AZ,Employed,207,10000
FL,Full-time,77,7000
CA,Employed,137,6000
IL,Employed,19,4000
TX,Employed,198,12000
CT,Employed,20,15000
CA,Employed,67,9000
TX,Employed,32,15000
CA,Full-time,76,4000
TN,Other,187,4000
KS,Employed,197,2000
OH,Employed,61,5500
,Full-time,53,5000
NY,Employed,301,4000
WA,,,1000
AL,Employed,1,25000
NY,Employed,100,15000
IL,Self-employed,120,4000
OH,Employed,167,15000
AZ,Full-time,98,2000
VT,Employed,73,4000
CO,Employed,38,2400
NC,Employed,37,3000
NC,Self-employed,178,7500
,,,6000
FL,Self-employed,55,8000
OK,Full-time,119,4000
CA,Full-time,66,5930
OH,Employed,83,10000
IL,Full-time,178,2000
FL,Full-time,1,7500
CT,Employed,114,10000
PA,Full-time,37,1000
CO,Full-time,59,1000
NY,Employed,38,15000
MO,,,3000
NY,Employed,57,7000
MI,Full-time,91,9000
SC,Full-time,0,2000
WI,Employed,265,20000
NJ,Other,1,5500
OK,Employed,62,6000
NY,Full-time,132,2000
TX,Employed,49,6000
TN,Employed,55,15000
OK,Full-time,13,6000
AZ,Employed,59,10000
MN,Full-time,8,4000
IL,Employed,155,11000
MD,Employed,56,15000
CA,Employed,75,7000
TN,Employed,10,10000
MO,Full-time,64,3000
GA,Employed,6,10000
MO,Full-time,4,3000
CA,Self-employed,38,4000
NC,Employed,30,4000
GA,Employed,42,5000
NC,Other,27,2000
TX,Employed,157,25000
OH,Full-time,32,4000
SC,Not employed,88,8500
PA,Employed,73,5500
MA,Employed,148,15000
FL,Employed,88,4000
MD,Employed,13,5000
TN,Employed,68,10000
NJ,Employed,251,13000
FL,Employed,6,4000
NM,Other,155,2000
NJ,Employed,198,3000
RI,Other,12,20000
GA,Employed,139,15000
NY,Self-employed,86,17000
TX,Employed,115,5000
CA,Full-time,10,10000
IL,Not available,,2025
FL,Employed,134,9000
CO,Employed,122,8000
WA,Full-time,24,2000
FL,Other,43,17750
OH,Employed,100,13500
TN,Employed,152,2000
VA,Employed,101,4000
FL,Full-time,68,5000
TX,Employed,28,5000
NJ,Employed,35,5000
OH,Full-time,12,1700
GA,Full-time,110,25000
CA,Self-employed,105,5000
TN,Employed,25,15000
IL,Other,88,4500
,Not available,,14150
MN,Full-time,73,2000
OK,Other,10,15000
FL,Employed,1,4000
NY,Full-time,125,4000
MS,Full-time,9,4500
,Full-time,55,9500
WY,Full-time,129,2800
LA,Employed,56,3000
GA,Employed,245,7600
CA,Employed,37,4000
,Not available,,5600
CA,Employed,496,4000
TX,Employed,71,2500
WV,Self-employed,36,15000
TX,Employed,220,13000
OR,Full-time,141,8500
UT,Full-time,10,8200
WI,Employed,194,15000
AR,Full-time,59,5000
MI,Employed,13,15000
CA,Full-time,84,6000
TX,Employed,226,11500
PA,Employed,54,25000
NY,Full-time,24,25000
NY,Employed,13,15000
CA,Full-time,33,8000
GA,Full-time,227,15000
NY,Employed,159,5000
IL,Part-time,98,6000
MD,Employed,36,25000
,Self-employed,28,9800
NJ,Employed,336,15000
CA,Full-time,136,3000
FL,Full-time,61,8000
TX,Employed,28,10000
VA,Employed,50,9000
NE,Employed,22,15000
CA,Employed,61,22500
CA,Employed,8,10000
NC,Employed,20,25000
VA,Employed,6,10000
NY,Not available,,3250
FL,Employed,86,25000
WI,Employed,324,10000
GA,Not available,,18000
AZ,Retired,211,1500
GA,Full-time,84,24000
VA,Employed,29,13000
MS,Employed,161,12000
FL,Employed,88,18000
CA,Employed,193,11631
NC,Full-time,82,2000
UT,Full-time,324,1000
CA,Employed,167,15000
TN,Employed,48,25000
,Not available,,1500
KS,Employed,31,4000
CA,Full-time,176,10000
MT,Employed,24,10000
CA,Employed,61,20000
CA,Employed,25,5000
,,,5000
WA,Self-employed,35,3000
,,,12000
TX,Full-time,227,9000
IL,Employed,421,5000
MD,Other,227,4000
,,,20000
MO,Employed,65,15000
CA,Employed,14,22500
LA,Employed,71,4000
MD,Full-time,232,15000
ID,Employed,308,10000
,Not available,,3250
MI,Full-time,23,1000
TX,Employed,84,3500
MS,Employed,52,5000
KS,Employed,248,15000
WI,Not available,,1000
FL,Full-time,13,1000
CO,Full-time,13,1500
TX,Employed,284,3000
GA,Employed,3,2939
GA,Employed,84,10000
WA,Employed,14,5000
MS,Employed,97,13000
MO,Employed,10,4000
MN,Employed,2,5000
CA,Employed,94,4000
TX,Not available,,5000
IL,Employed,69,10000
OH,Full-time,258,12000
SC,Employed,420,7500
NC,Other,0,15000
NC,Other,0,3500
CA,Employed,128,4000
TX,Employed,31,3000
MA,Full-time,31,10000
CO,Full-time,108,1500
MD,Employed,35,21000
PA,Employed,36,25000
UT,Employed,13,25000
OH,Employed,48,9000
CT,Employed,37,10000
FL,Full-time,57,25000
IL,Full-time,17,2500
VT,Employed,309,7000
CA,Employed,193,25000
OK,Employed,37,3000
CA,Employed,72,15000
WA,Full-time,5,1000
NY,Employed,108,4000
CA,Employed,136,25000
TX,Employed,141,10000
MA,Self-employed,51,15000
,,,2000
FL,Full-time,25,4000
FL,Not available,,12500
NJ,Employed,84,5000
KS,Not available,,1600
FL,Self-employed,161,4517
FL,Full-time,191,3000
TX,Other,46,10000
TX,Employed,18,7000
NM,Employed,40,2000
MI,Part-time,12,1500
CA,Employed,243,15000
AL,Employed,61,8000
TX,Self-employed,7,15000
FL,Full-time,22,4900
LA,Self-employed,66,15000
PA,Employed,41,20000
IL,Full-time,12,1000
TX,Employed,168,15000
NY,Employed,38,4000
IL,Employed,79,4000
AL,Employed,6,25000
RI,Employed,69,10350
MD,Employed,119,20000
IL,Retired,81,1800
SD,Employed,84,5000
WI,Employed,234,4000
NY,Employed,39,2000
FL,Employed,70,6000
CA,Employed,9,10000
CA,Part-time,14,3000
TX,Employed,47,4000
NY,Self-employed,4,4000
MD,Employed,17,4000
FL,Part-time,109,5000
IL,Employed,14,12000
NC,Full-time,4,3200
OR,Employed,51,8000
PA,Part-time,72,1200
CA,Self-employed,49,2000
NY,Retired,131,2000
LA,Employed,54,10000
TX,Employed,51,4000
NV,Employed,80,10000
TX,Employed,68,6000
MI,Full-time,242,10000
MI,Full-time,36,3000
MN,Full-time,73,6000
NY,Employed,81,2500
FL,Self-employed,42,4000
KS,Employed,20,7500
TN,Retired,77,3000
PA,Employed,116,25000
MI,Employed,15,4000
IL,Employed,14,6750
IL,Full-time,188,12500
AR,Employed,178,15000
,Not available,,17000
CA,Employed,81,2500
IL,Full-time,3,3500
GA,Full-time,4,12000
FL,Employed,101,5000
WI,Employed,114,5000
NC,Full-time,194,3500
,Full-time,6,9800
FL,Employed,33,3000
CA,Full-time,267,8000
TX,Full-time,214,6000
NY,Employed,65,13000
CA,Employed,34,15000
AR,Employed,151,4000
CA,Employed,296,15000
CA,Other,732,6500
OH,Full-time,8,7000
TN,Employed,38,10000
MI,Employed,33,4000
NV,Employed,31,4000
MD,Employed,84,15000
WI,Self-employed,62,7500
CA,Employed,149,15000
FL,Employed,49,4000
NY,Employed,62,10000
CA,Full-time,114,15000
ID,Full-time,27,12000
WA,Full-time,57,2000
WA,Employed,80,10000
DE,Full-time,78,1000
CA,Employed,23,4000
VA,Full-time,22,10000
CA,Employed,40,2000
MI,Employed,78,3500
FL,Employed,17,25000
AL,Employed,83,15000
MD,Employed,120,15000
KY,Employed,64,5000
CA,Full-time,22,1000
NV,Not employed,0,5000
TN,Employed,19,10000
WA,Other,214,10000
VA,Full-time,90,4500
FL,Employed,173,15000
CA,Employed,130,5000
OH,Full-time,66,1000
CA,Other,28,4000
FL,Employed,71,7767
CA,Employed,10,3000
WV,Self-employed,27,12000
,Full-time,264,10000
ID,Employed,163,15000
PA,Self-employed,5,7000
OH,Employed,70,4000
TN,Employed,69,4000
AZ,Employed,107,12000
FL,Employed,54,7500
MD,Self-employed,121,3493
MI,Full-time,78,9000
OK,Employed,246,7000
AZ,Not available,,2000
MI,Employed,25,2000
,Full-time,114,2800
AR,Employed,104,12500
TX,Employed,179,3000
NC,Employed,12,3000
CO,Employed,31,4000
MI,Employed,3,4000
NC,Employed,110,15000
MN,Employed,152,7500
CO,Full-time,4,5000
OR,Employed,72,4000
TX,Employed,68,15000
TX,Employed,19,6000
TX,Employed,96,3500
GA,Employed,213,3500
IL,Employed,287,35000
NY,Employed,116,15000
,,,3200
,Not available,,1550
NY,Part-time,71,3500
NY,Employed,124,9200
WI,Full-time,105,7500
MA,Employed,70,2000
VT,Other,335,4000
MI,Other,35,2000
RI,Employed,140,10000
AZ,Not available,,5000
GA,Employed,76,10000
TX,Employed,216,2000
MO,Employed,120,3842
AR,Employed,66,10000
CA,Employed,79,3000
CA,Full-time,278,2000
,Not available,,20000
,Not available,,4000
TX,Full-time,64,4000
MT,Full-time,8,6000
NJ,Employed,74,15000
MA,Employed,10,3000
FL,Employed,76,10000
UT,Full-time,77,1200
MI,Full-time,153,2000
CA,Employed,233,4000
MO,Full-time,300,5000
NV,Employed,70,8500
OH,Full-time,33,7000
CA,Employed,124,5000
CA,Full-time,262,4000
MT,Self-employed,18,10000
CO,Employed,92,8000
NE,Employed,62,8000
MD,Employed,122,15000
KY,Employed,170,8000
NY,Employed,5,11293
LA,Employed,13,11000
VA,Full-time,29,10000
KY,Employed,158,25000
AZ,Full-time,65,12575
OH,Self-employed,116,15000
MS,Full-time,19,1000
,,,3000
IL,Full-time,23,2800
MI,Other,79,4000
PA,Self-employed,98,11000
MO,Other,101,2000
TX,Employed,80,12500
MO,Employed,150,3000
MI,Employed,56,2000
NJ,Employed,78,2500
MO,Employed,13,3000
FL,Employed,7,6500
OK,Other,287,4000
MD,Employed,129,2000
VT,Employed,14,10000
NC,Employed,6,6500
WI,Employed,347,4000
,Not available,,10000
WA,Not available,,20000
GA,Employed,102,15000
VA,Employed,401,23750
CA,Employed,45,20000
KY,Other,293,4000
TN,Not available,,1000
OH,Employed,59,4000
VA,Employed,46,15000
IL,Employed,0,7000
IL,Employed,198,2000
AR,Employed,87,20000
CA,Full-time,29,10000
IL,Employed,93,4000
TX,Employed,20,10000
WA,Not available,,7000
DE,Full-time,64,1000
CA,Full-time,173,5000
,Not available,,3000
MI,Part-time,13,4000
FL,Full-time,164,5000
CT,Other,12,13000
PA,Employed,17,13000
IL,Full-time,15,3000
NY,Full-time,122,2500
OH,Employed,61,7500
IL,Part-time,23,5000
MT,,,2500
NY,Employed,106,7500
CA,Employed,18,4500
TX,Other,144,10000
VA,Other,137,5000
WI,Employed,88,10000
CA,Employed,13,13000
CA,Not available,,2600
MT,Employed,118,6000
NY,Employed,114,25000
ID,Full-time,102,13000
AZ,Employed,82,15000
,Full-time,0,13000
NM,Employed,82,3000
MD,Employed,90,4000
OH,Employed,297,10000
MD,Full-time,9,25000
KS,Self-employed,149,15000
FL,Full-time,13,2060
PA,Employed,50,15000
NY,Other,91,3500
GA,Employed,12,15000
GA,Full-time,122,3500
CT,Employed,28,4000
TX,Employed,229,10000
IL,Self-employed,19,1600
AZ,Employed,66,4000
WI,Employed,25,7000
CA,Other,0,15000
NV,Full-time,100,1500
TX,Employed,3,4200
MA,Employed,120,2000
OH,Employed,41,2000
CA,Employed,50,3500
GA,Employed,15,3800
CA,Employed,292,35000
,Not available,,1500
CA,Employed,143,5000
FL,Full-time,32,5000
MN,Employed,70,5000
MD,Full-time,10,1000
GA,Full-time,109,3500
WA,Full-time,87,10280
FL,Employed,68,13000
TN,Employed,44,10000
NY,Employed,184,5000
RI,Employed,23,4000
,Not available,,1000
CA,Employed,65,9000
CT,Employed,215,15000
CA,Employed,251,12000
VA,Employed,183,15000
,,,14500
AK,Employed,78,10000
CA,Employed,115,2500
NC,Employed,91,10000
PA,Employed,128,4000
TX,Employed,42,8500
TN,Employed,26,20000
WA,Full-time,36,3000
NM,Not available,,2501
TX,Full-time,107,7500
GA,Full-time,76,15000
CA,Employed,105,7300
IN,Employed,158,4000
CO,Employed,29,4000
GA,Employed,88,7500
NC,Employed,217,2000
CA,Employed,72,20000
IN,Employed,7,7000
,Full-time,103,3500
MN,Employed,217,6500
WA,Full-time,131,5000
GA,Employed,106,3000
PA,Employed,8,7500
NC,Employed,350,15000
CO,Full-time,164,5000
MI,Employed,56,2000
CA,Self-employed,51,10000
GA,Employed,27,11000
MA,Self-employed,45,4000
CA,Employed,131,20000
NY,Employed,24,1500
MD,Employed,186,7000
VA,Employed,10,5000
ME,Self-employed,117,6000
MD,Full-time,96,25000
IN,Part-time,2,2400
MN,Employed,45,15000
PA,Full-time,75,15000
NC,Employed,75,20000
FL,Retired,114,5000
GA,Full-time,0,10000
CO,Employed,1,2000
KS,Employed,122,18000
MI,Employed,356,5000
MD,Employed,186,4000
FL,Employed,23,4000
TX,Employed,41,10000
PA,Employed,33,8500
FL,Employed,197,10000
VA,Employed,44,4000
AL,Employed,10,2000
NY,Employed,114,10000
CA,Employed,23,4000
WY,Full-time,11,1100
MO,Employed,107,15000
TX,Employed,623,7500
MO,Full-time,288,25000
NY,Employed,220,10000
AZ,Self-employed,99,10000
TX,Employed,28,8000
NJ,Employed,115,15000
WI,Employed,61,15000
ME,Full-time,210,5200
MT,Full-time,0,4000
OH,Employed,74,4000
NY,Employed,110,3500
TX,Employed,8,8000
VA,Employed,65,15000
,Not available,,4200
ID,Full-time,42,5150
KS,Full-time,161,9000
AZ,Employed,14,2250
GA,Employed,9,15000
GA,Full-time,26,10000
NY,,,1500
NC,Employed,10,2700
CA,Employed,38,19000
GA,Employed,128,10000
LA,Full-time,28,1500
MO,Full-time,170,2500
KY,Full-time,21,25000
,Full-time,2,3000
MI,Other,0,5000
MO,Full-time,30,3000
OH,Full-time,30,1100
TN,Employed,73,10000
OH,Employed,152,3000
AZ,Full-time,132,20000
NY,Employed,31,2000
OR,Full-time,48,1000
TX,Employed,4,8500
MA,Employed,17,4000
NH,Full-time,71,7000
MI,Employed,173,8000
NY,Employed,157,15000
OH,Employed,17,9600
LA,Not available,,1000
OK,Full-time,357,4000
AR,Employed,275,4000
IL,Full-time,121,1500
NY,Employed,137,8000
CA,Full-time,95,15000
TX,Other,6,4000
CA,Employed,110,30000
PA,Employed,143,10000
CA,Full-time,20,2500
,,,3000
TX,Employed,57,10000
NY,Employed,166,11300
NY,Employed,7,4000
CA,Employed,26,15000
IL,Employed,7,8000
HI,Full-time,16,15500
FL,Employed,109,7000
KS,Self-employed,82,4000
NY,Employed,51,4000
FL,Employed,44,2500
NY,Employed,288,11500
AZ,Self-employed,25,10000
CO,Employed,14,15000
,Full-time,26,15000
,Full-time,21,15000
MA,Employed,35,20000
IL,Not employed,2,1000
CA,Employed,140,10000
MA,Employed,217,8000
,Full-time,30,3000
PA,Employed,213,6500
